Date,Close/Last,Volume,Open,High,Low
06/19/2017,8.7183,54949162,8.5475,8.7465,8.5092
06/16/2017,8.3158,46897699,8.4,8.4058,8.2142
06/15/2017,8.4167,70417384,8.2708,8.445,8.115
06/14/2017,8.5317,68980528,8.7492,8.7492,8.3275
06/13/2017,8.6475,63129517,8.5817,8.6817,8.4529
06/12/2017,8.45,82869021,8.3667,8.4883,8.1195
06/09/2017,8.6058,116451011,9.31,9.3442,8.2217
06/08/2017,9.2767,45995646,9.3092,9.3233,9.1308
06/07/2017,9.2517,40415152,9.2167,9.275,9.0967
06/06/2017,9.1517,38747715,9.2233,9.3133,9.105
06/05/2017,9.2567,25646374,9.2567,9.305,9.2175
06/02/2017,9.2642,41598929,9.0467,9.2707,9.0075
06/01/2017,8.9583,36933783,8.905,8.9658,8.7958
05/31/2017,8.8525,48199027,8.9442,8.9633,8.7175
05/30/2017,8.8633,27576959,8.8233,8.8958,8.8142
05/26/2017,8.845,27388727,8.8008,8.8542,8.7675
05/25/2017,8.8075,43660757,8.6758,8.8636,8.6217
05/24/2017,8.5817,32640385,8.5358,8.5917,8.4692
05/23/2017,8.465,34378214,8.5133,8.5167,8.4017
05/22/2017,8.4442,32573413,8.2883,8.4542,8.2792
05/19/2017,8.2308,36240086,8.2117,8.3367,8.205
05/18/2017,8.1325,60072444,7.92,8.2108,7.8862
05/17/2017,7.9317,69657364,8.3792,8.4233,7.9206
05/16/2017,8.5808,38050887,8.5342,8.5817,8.4658
05/15/2017,8.4742,34594274,8.4042,8.4883,8.3825
05/12/2017,8.3958,29245920,8.3525,8.4008,8.3308
05/11/2017,8.3417,31114284,8.2942,8.3456,8.1775
05/10/2017,8.3617,27968147,8.3575,8.3692,8.2733
05/09/2017,8.3483,37782471,8.2967,8.4025,8.2787
05/08/2017,8.2575,30581724,8.2208,8.2608,8.1708
05/05/2017,8.2083,27127631,8.1783,8.2083,8.0908
05/04/2017,8.12,36251199,8.1158,8.1533,8.0367
05/03/2017,8.1117,36592239,8.1425,8.1434,8.0458
05/02/2017,8.1925,29961072,8.1842,8.2042,8.1216
05/01/2017,8.1442,32239609,8.0175,8.185,8.0075
04/28/2017,7.9442,34186754,7.995,8.0042,7.9042
04/27/2017,7.8992,28664831,7.8217,7.9,7.8025
04/26/2017,7.7633,43601777,7.805,7.8608,7.7467
04/25/2017,7.7975,31862293,7.7042,7.8358,7.6865
04/24/2017,7.6283,29797260,7.6042,7.65,7.5717
04/21/2017,7.3608,26992631,7.3883,7.3975,7.3101
04/20/2017,7.3642,41165980,7.2775,7.4167,7.2442
04/19/2017,7.19,28746599,7.2475,7.3183,7.16
04/18/2017,7.165,25273474,7.1192,7.2232,7.1058
04/17/2017,7.1858,17965279,7.0783,7.195,7.0704
04/13/2017,7.0192,30672180,7.075,7.1975,7.015
04/12/2017,7.1033,33982442,7.19,7.205,7.0817
04/11/2017,7.1983,42610541,7.2617,7.2983,7.0358
04/10/2017,7.29,24053902,7.3067,7.3775,7.2275
04/07/2017,7.2817,20764736,7.285,7.3475,7.2025
04/06/2017,7.29,30796344,7.3092,7.3508,7.2375
04/05/2017,7.2842,36532539,7.4042,7.5317,7.2408
04/04/2017,7.3683,16153098,7.2708,7.3742,7.2658
04/03/2017,7.335,32119129,7.3725,7.4233,7.2182
03/31/2017,7.3508,27052511,7.3358,7.41,7.3117
03/30/2017,7.3683,26389571,7.3292,7.3925,7.305
03/29/2017,7.3317,24023626,7.2425,7.3417,7.2258
03/28/2017,7.2358,41961017,7.1017,7.2975,7.0575
03/27/2017,7.1025,37325703,6.9208,7.1392,6.8692
03/24/2017,7.065,25648966,7.0933,7.1758,6.99
03/23/2017,7.0267,29469672,7.0575,7.1133,6.9933
03/22/2017,7.0833,35275394,6.9508,7.1025,6.9183
03/21/2017,6.9467,46616959,7.3517,7.375,6.93
03/20/2017,7.2708,18351223,7.2492,7.3225,7.2167
03/17/2017,7.2492,17627347,7.2833,7.3125,7.245
03/16/2017,7.2667,19373384,7.3208,7.3208,7.2142
03/15/2017,7.2708,31873549,7.195,7.3267,7.1208
03/14/2017,7.1458,26379419,7.15,7.1608,7.06
03/13/2017,7.1992,16841539,7.1508,7.2058,7.1442
03/10/2017,7.1575,25419898,7.1708,7.1967,7.076
03/09/2017,7.08,21726729,7.0567,7.1057,6.9642
03/08/2017,7.0583,19293332,7.04,7.1267,7.0158
03/07/2017,7.0225,17667727,7.0125,7.1167,6.9892
